-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |   Rel. |    Aki     | Acc. |       Ei           Ek       |     Lower level     |     Upper level     |Type|        TP  |       Line  |
    Wavelength    |    Wavelength    |   Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |---------------------|---------------------|    |       Ref. |       Ref.  |
     Air (nm)     |     Air (nm)     |        |            |      |                             | Conf.  | Term | J   | Conf.  | Term | J   |    |            |             |
                  |        624.320   |        | 2.79e+07   | B+   |  105470.93   -   121483.92  | 3s.4p  | 3P*  | 2   | 3s.4d  | 3D   | 2   |    | T6298c4,LS |             |
        624.336   |        624.337   |    100 | 1.11e+08   | A    |  105470.93   -   121483.50  | 3s.4p  | 3P*  | 2   | 3s.4d  | 3D   | 3   |    | T6298c4,LS |      L3515  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        631.990   |        | 2.16e+05   | C+   |  123470.5    -   139289.15  | 3s.4f  | 1F*  | 3   | 3s.6d  | 1D   | 2   |    |      T6533 |             |
        633.5701  |        633.571   |     30 | 1.53e+07   | B    |  110089.83   -   125869.015 | 3s.3d  | 1D   | 2   | 3s.5p  | 1P*  | 1   |    |      T6533 |      L4575  |
                  |        649.313   |        | 2.16e+03   | E    |  123418.48   -   138815.12  | 3s.4f  | 3F*  | 2   | 3s.6d  | 3D   | 3   |    | T6298c4,LS |             |
                  |        649.323   |        | 1.07e+05   | C    |  123418.48   -   138814.87  | 3s.4f  | 3F*  | 2   | 3s.6d  | 3D   | 2   |    | T6298c4,LS |             |
                  |        649.323   |        | 9.59e+05   | C+   |  123418.48   -   138814.87  | 3s.4f  | 3F*  | 2   | 3s.6d  | 3D   | 1   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        649.396   |        | 7.64e+04   | C    |  123420.45   -   138815.12  | 3s.4f  | 3F*  | 3   | 3s.6d  | 3D   | 3   |    | T6298c4,LS |             |
                  |        649.407   |        | 8.52e+05   | C+   |  123420.45   -   138814.87  | 3s.4f  | 3F*  | 3   | 3s.6d  | 3D   | 2   |    | T6298c4,LS |             |
        649.545   |        649.519   |        | 8.80e+05   | C+   |  123423.36   -   138815.12  | 3s.4f  | 3F*  | 4   | 3s.6d  | 3D   | 3   |    | T6298c4,LS |      L3471  |
        660.964   |        660.981   |        | 2.20e+06   | C+   |  124794.13   -   139918.98  | 3s.4d  | 1D   | 2   | 3s.7p  | 1P*  | 1   |    |      T6533 |      L3515  |
        669.639   |        669.64302 |      2 | 2.74e+05   | C+   |  120092.919  -   135022.127 | 3s.5s  | 3S   | 1   | 3s.6p  | 3P*  | 2   |    | T6298c4,LS |      L3471  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        669.946   |        669.93138 |      1 | 2.73e+05   | C    |  120092.919  -   135015.701 | 3s.5s  | 3S   | 1   | 3s.6p  | 3P*  | 1   |    | T6298c4,LS |      L3471  |
                  |        670.08477 |        | 2.74e+05   | C    |  120092.919  -   135012.285 | 3s.5s  | 3S   | 1   | 3s.6p  | 3P*  | 0   |    | T6298c4,LS |             |
        681.669   |        681.689   |     10 | 1.20e+07   | B    |  105427.52   -   120092.919 | 3s.4p  | 3P*  | 0   | 3s.5s  | 3S   | 1   |    | T6298c4,LS |      L3515  |
        682.348   |        682.339   |     50 | 3.59e+07   | B+   |  105441.50   -   120092.919 | 3s.4p  | 3P*  | 1   | 3s.5s  | 3S   | 1   |    | T6298c4,LS |      L3515  |
        683.714   |        683.713   |     80 | 5.94e+07   | B+   |  105470.93   -   120092.919 | 3s.4p  | 3P*  | 2   | 3s.5s  | 3S   | 1   |    | T6298c4,LS |      L3515  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        691.793   |        691.793   |     10 | 9.90e+06   | B+   |  124794.13   -   139245.343 | 3s.4d  | 1D   | 2   | 3s.6f  | 1F*  | 3   |    |      T6533 |      L3515  |
        691.996   |        692.034   |      1 | 1.00e+08   | A    |  106920.56   -   121366.725 | 3s.4p  | 1P*  | 1   | 3s.5s  | 1S   | 0   |    |      T6533 |      L3471  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
